Date,Open,High,Low,Close,Adj Close,Volume
7/1/2022,40.369999,49.34,39.84,45.130001,44.756737,505026200
8/1/2022,44.490002,53.860001,41.18,41.880001,41.533619,523941300
9/1/2022,41.16,45.68,37.09,37.73,37.417938,497364600
10/1/2022,38,40.969002,33.740002,38.279999,37.96339,523912600
11/1/2022,39.470001,41.290001,32.509998,37.48,37.17001,549044500
12/1/2022,37.700001,38.375,29.43,31.24,30.981619,483292700
1/1/2023,31.84,40.689999,30.02,39.93,39.599747,489062400
2/1/2023,40.099998,45.459999,38.049999,39.619999,39.292309,641328900
3/1/2023,39.459999,40.98,34.810001,40.34,40.006355,633294000
4/1/2023,39.779999,40.02,34.970001,35.919998,35.62291,295763400
5/1/2023,35.759998,41.279999,34.720001,40.490002,40.155113,360923400
6/1/2023,40.150002,45,39.810001,44.139999,43.774925,309570700
7/1/2023,44.52,51.330002,42.749001,50.450001,50.032738,327108600
8/1/2023,49.810001,49.830002,39.32,43.75,43.388149,353936700
9/1/2023,44.110001,45.16,38.134998,39.669998,39.341892,256731300
10/1/2023,39.689999,40.810001,33.759998,35.080002,35.080002,343645100
11/1/2023,35.25,48.014999,34.540001,46.110001,46.110001,400930600
12/1/2023,46.549999,54.52,46.07,52.369999,52.369999,381495500
1/1/2024,51.799999,51.84,48.07,48.91,48.91,68661900
1/4/2024,48.41,49.389999,48.07,48.91,48.91,16750531
